Mapped,Raw
0,"[0, 'under way using engine', 'Under way using engine', '0', '0.0', 0.0]"
1,"[1, 'at anchor', 'At anchor', '1', '1.0', 1.0]"
2,"[2, 'not under command', 'Not under command', '2', '2.0', 2.0]"
3,"[3, 'restricted manoeuverability', 'restricted maneuverability', 'restricted manoeuvrability', 'Restricted manoeuvrability', '3', '3.0', 3.0]"
4,"[4, 'contrained by her draught', 'Constrained by her draught', '4', '4.0', 4.0]"
5,"[5, 'moored', 'Moored', '5', '5.0', 5.0]"
6,"[6, 'aground', 'Aground', '6', '6.0', 6.0]"
7,"[7, 'engaged in fishing', 'Engaged in fishing', '7', '7.0', 7.0]"
8,"[8, 'underway sailing', 'under way sailing', 'Under way sailing', '8', '8.0', 8.0]"
9,"[9, 'reserved for future amendment of navigational status for hsc', 'reserved for future use (9)', 'Reserved for future amendment of navigational status for ships carrying DG, HS or MP, or IMO hazard or pollutant category C (HSC)', '9', '9.0', 9.0]"
10,"[10, 'reserved for future amendment of navigational status for wig', 'reserved for future use (10)', 'Reserved for future amendment of navigational status for ships carrying DG, HS or MP, or IMO hazard or pollutant category A (WIG)', '10', '10.0', 10.0]"
11,"[11, 'power-driven vessel towing astern', '11', '11.0', 11.0]"
12,"[12, 'power-driven vessel pushing ahead/towing alongside', '12', '12.0', 12.0]"
13,"[13, 'reserved for future use', 'reserved for future use (13)', '(reserved for future use)', 'Reserved for future use', '13', '13.0', 13.0]"
14,"[14, 'ais-sart is active', 'ais-sart (active); mob-ais; epirb-ais', 'ais-sart (active)', 'mob-ais', 'epirb-ais', 'eprib-ais', 'AIS-SART (active)', '14', '14.0', 14.0]"
15,"[15, 'not defined (default)', 'not defined', 'unknown', 'undefined', '16', 'Not defined', '15', '15.0', 15.0, 16, 16.0, '16.0']"
