Mapped,Raw
Time,"['BaseDateTime', 'dt_pos_utc', 'DATE TIME (UTC)', 'Date time stamp', 'POSITION_UTC_DATE', 'Time', 'MovementDateTime']"
X,"['X', 'Longitude', 'Lon', 'Longitude (DDD.ddd)', 'LONGITUDE', 'LON', 'longitude']"
Y,"['Y', 'Latitude', 'Lat', 'Latitude (DD.ddd)', 'LATITUDE', 'LAT', 'latitude']"
Draft,"['Draught', 'Draft', 'Max draught', 'DRAUGHT', 'draught']"
Name,"['Name', 'VesselName', 'Vessel_Name', 'vessel_name', 'NAME']"
MMSI,"['MMSI', 'VESSEL_ID', 'mmsi']"
IMO,"['IMO', 'IMO number', 'LRIMOShipNo', 'imo']"
AISCode,"['AISTYPE', 'VesselType', 'vessel_type_code', 'Type of ship', 'AISCode', 'ShipType','ship_type']"
Coursing,"['COG', 'Course', 'Coursing', 'COG (deg)', 'COURSE', 'cog', 'CourseOverGround']"
Heading,"['Heading', 'Hdng', 'True heading', 'HEADING', 'heading']"
Speed,"['Speed', 'SOG', 'SOG (knts)', 'SPEED', 'SPEED_KNOTS', 'sog', 'SpeedOverGround']"
Turning Rate,"['ROT (deg/min)', 'rot', 'turning_rate', 'rate_of_turn', 'RateOfTurn']"
Length,"['LOA', 'Length', 'length']"
Width,"['Beam', 'Width', 'width']"
A,"['A', 'DimensionA', 'toBow' , 'ToBow']"
B,"['B', 'DimensionB', 'toStern', 'ToStern']"
C,"['C', 'DimensionC', 'toPort', 'ToPort']"
D,"['D', 'DimensionD', 'toStar', 'ToStar', 'ToStarboard']"
Status,"['NavStat', 'Status', 'nav_status_code', 'Navigational status', 'NAVSTAT', 'nav_status', 'NavStatus']"
MessageType,"['Msg Type', 'Message Type', 'Msg type']"
